DATAS,NUMEROS
19-JAN-21,1396
20-JAN-21,3918
21-JAN-21,3404
22-JAN-21,2687
23-JAN-21,2875
24-JAN-21,3242
25-JAN-21,3198
26-JAN-21,2244
27-JAN-21,1643
28-JAN-21,2874
29-JAN-21,8649
30-JAN-21,10202
31-JAN-21,7144
01-FEB-21,4154
02-FEB-21,2869
03-FEB-21,2782
04-FEB-21,5058
05-FEB-21,7966
06-FEB-21,8786
07-FEB-21,1357
08-FEB-21,10599
09-FEB-21,7901
10-FEB-21,1435
11-FEB-21,1740
12-FEB-21,1784
15-FEB-21,2597
16-FEB-21,3451
17-FEB-21,3361
18-FEB-21,2822
19-FEB-21,2939
20-FEB-21,2361
22-FEB-21,6306
23-FEB-21,2425
24-FEB-21,1892
25-FEB-21,6781
26-FEB-21,13495
27-FEB-21,14425
28-FEB-21,8732
01-MAR-21,3007
02-MAR-21,3144
03-MAR-21,1536
04-MAR-21,7669
05-MAR-21,3954
06-MAR-21,9901
07-MAR-21,2256
08-MAR-21,9812
09-MAR-21,8676
10-MAR-21,5611
11-MAR-21,5825
12-MAR-21,6545
13-MAR-21,4731
15-MAR-21,6563
16-MAR-21,6358
17-MAR-21,6711
18-MAR-21,5570
19-MAR-21,6828
20-MAR-21,11020
21-MAR-21,5052
22-MAR-21,3807
23-MAR-21,12445
24-MAR-21,12985
25-MAR-21,16013
26-MAR-21,16083
27-MAR-21,16883
28-MAR-21,16798
29-MAR-21,8818
30-MAR-21,11246
31-MAR-21,17946
01-APR-21,14896
03-APR-21,18592
04-APR-21,8841
05-APR-21,17200
06-APR-21,7450
07-APR-21,11376
08-APR-21,7403
09-APR-21,8700
10-APR-21,15678
11-APR-21,5479
12-APR-21,5927
13-APR-21,5554
14-APR-21,6284
15-APR-21,4993
16-APR-21,6640
17-APR-21,21530
18-APR-21,11276
19-APR-21,14758
20-APR-21,16644
21-APR-21,13960
22-APR-21,17457
23-APR-21,10334
24-APR-21,18017
25-APR-21,8868
26-APR-21,11015
27-APR-21,16868
28-APR-21,11954
29-APR-21,6064
30-APR-21,9471
01-MAY-21,9744
02-MAY-21,4525
03-MAY-21,10356
04-MAY-21,12062
05-MAY-21,14471
06-MAY-21,16145
07-MAY-21,13086
08-MAY-21,7667
10-MAY-21,15630
11-MAY-21,17122
12-MAY-21,12043
13-MAY-21,13241
14-MAY-21,10136
15-MAY-21,30197
16-MAY-21,14864
17-MAY-21,14643
18-MAY-21,12865
19-MAY-21,15492
20-MAY-21,17163
21-MAY-21,20919
22-MAY-21,11185
23-MAY-21,5
24-MAY-21,1538
25-MAY-21,8703
26-MAY-21,9158
27-MAY-21,29109
28-MAY-21,12856
29-MAY-21,3052
31-MAY-21,2663
01-JUN-21,1060
02-JUN-21,1038
03-JUN-21,21231
04-JUN-21,15911
05-JUN-21,12299
07-JUN-21,14788
08-JUN-21,18218
09-JUN-21,13871
10-JUN-21,21610
11-JUN-21,20751
12-JUN-21,14590
14-JUN-21,6758
15-JUN-21,6825
16-JUN-21,21345
17-JUN-21,6779
18-JUN-21,17317
19-JUN-21,19775
20-JUN-21,5200
21-JUN-21,19233
22-JUN-21,15304
23-JUN-21,12
24-JUN-21,3
25-JUN-21,25485
26-JUN-21,18950
27-JUN-21,10142
28-JUN-21,16890
29-JUN-21,4580
30-JUN-21,4424
01-JUL-21,37222
02-JUL-21,15973
04-JUL-21,24069
05-JUL-21,22594
06-JUL-21,7240
07-JUL-21,918
08-JUL-21,757
09-JUL-21,23526
10-JUL-21,8599
11-JUL-21,1539
12-JUL-21,2441
13-JUL-21,11463
14-JUL-21,6422
15-JUL-21,6424
16-JUL-21,24462
17-JUL-21,30944
19-JUL-21,23657
20-JUL-21,34309
21-JUL-21,32163
22-JUL-21,37216
23-JUL-21,14115
24-JUL-21,17406
25-JUL-21,29
26-JUL-21,11051
27-JUL-21,8468
28-JUL-21,21492
29-JUL-21,22125
30-JUL-21,12613
31-JUL-21,20911
01-AUG-21,10226
02-AUG-21,20289
03-AUG-21,22029
04-AUG-21,22772
05-AUG-21,29701
06-AUG-21,23252
07-AUG-21,21388
09-AUG-21,38129
10-AUG-21,37627
11-AUG-21,35720
12-AUG-21,29993
13-AUG-21,30707
14-AUG-21,28653
15-AUG-21,1
16-AUG-21,34620
17-AUG-21,23889
18-AUG-21,47040
19-AUG-21,34579
20-AUG-21,20535
21-AUG-21,42973
22-AUG-21,4
23-AUG-21,25656
24-AUG-21,23347
25-AUG-21,26865
26-AUG-21,16353
27-AUG-21,18907
28-AUG-21,22619
30-AUG-21,16462
31-AUG-21,19420
01-SEP-21,19832
02-SEP-21,23965
03-SEP-21,18683
04-SEP-21,21285
05-SEP-21,11993
06-SEP-21,58
08-SEP-21,22715
09-SEP-21,25716
10-SEP-21,23097
11-SEP-21,21765
12-SEP-21,16
13-SEP-21,27404
14-SEP-21,26904
15-SEP-21,28715
16-SEP-21,17718
17-SEP-21,14090
18-SEP-21,23752
19-SEP-21,13
20-SEP-21,23210
21-SEP-21,25267
22-SEP-21,23142
23-SEP-21,32273
24-SEP-21,30511
25-SEP-21,18432
27-SEP-21,30177
28-SEP-21,29652
29-SEP-21,25449
30-SEP-21,25622
01-OCT-21,17347
02-OCT-21,16398
03-OCT-21,2
04-OCT-21,22000
05-OCT-21,26025
06-OCT-21,22788
07-OCT-21,24588
08-OCT-21,18160
09-OCT-21,16488
10-OCT-21,7481
13-OCT-21,25600
14-OCT-21,27334
15-OCT-21,20346
16-OCT-21,214
17-OCT-21,10972
18-OCT-21,21724
19-OCT-21,22656
20-OCT-21,11080
21-OCT-21,29165
22-OCT-21,15436
23-OCT-21,19583
24-OCT-21,14
25-OCT-21,24515
26-OCT-21,27993
27-OCT-21,20109
28-OCT-21,24247
29-OCT-21,19290
30-OCT-21,12611
03-NOV-21,4565
04-NOV-21,35403
05-NOV-21,24110
06-NOV-21,15705
08-NOV-21,20845
09-NOV-21,23732
10-NOV-21,20260
11-NOV-21,19803
12-NOV-21,14414
13-NOV-21,12551
14-NOV-21,7
15-NOV-21,2
16-NOV-21,15454
17-NOV-21,21306
18-NOV-21,19173
19-NOV-21,12759
20-NOV-21,14757
22-NOV-21,16148
23-NOV-21,20104
24-NOV-21,19023
25-NOV-21,33479
26-NOV-21,25182
27-NOV-21,9
28-NOV-21,1
29-NOV-21,23638
30-NOV-21,23471
01-DEC-21,22928
02-DEC-21,21247
03-DEC-21,17222
04-DEC-21,11837
05-DEC-21,3805
06-DEC-21,14021
07-DEC-21,15877
08-DEC-21,10064
09-DEC-21,11510
10-DEC-21,11534
11-DEC-21,7
13-DEC-21,14012
14-DEC-21,14342
15-DEC-21,11497
16-DEC-21,17153
17-DEC-21,369
18-DEC-21,8962
19-DEC-21,3540
20-DEC-21,20580
21-DEC-21,22106
22-DEC-21,19983
23-DEC-21,15582
24-DEC-21,4
25-DEC-21,2
27-DEC-21,19814
28-DEC-21,20608
29-DEC-21,17850
30-DEC-21,11136
02-JAN-22,2
03-JAN-22,19421
04-JAN-22,21589
05-JAN-22,21449
06-JAN-22,22612
07-JAN-22,21106
08-JAN-22,9
10-JAN-22,22614
11-JAN-22,22146
12-JAN-22,21117
13-JAN-22,20684
14-JAN-22,20194
15-JAN-22,12205
17-JAN-22,18708
18-JAN-22,17781
19-JAN-22,14929
20-JAN-22,13183
21-JAN-22,11025
22-JAN-22,9175
23-JAN-22,2
24-JAN-22,14245
25-JAN-22,19574
26-JAN-22,17024
27-JAN-22,16538
28-JAN-22,14964
29-JAN-22,12942
30-JAN-22,2
31-JAN-22,15220
01-FEB-22,18047
02-FEB-22,15642
03-FEB-22,17061
04-FEB-22,20139
05-FEB-22,10875
06-FEB-22,3
07-FEB-22,14961
08-FEB-22,16135
09-FEB-22,19114
10-FEB-22,14468
11-FEB-22,12482
12-FEB-22,5521
14-FEB-22,16106
15-FEB-22,14146
16-FEB-22,13875
17-FEB-22,12263
18-FEB-22,3386
19-FEB-22,17874
20-FEB-22,8
21-FEB-22,13987
22-FEB-22,12842
23-FEB-22,17331
24-FEB-22,11510
25-FEB-22,8919
26-FEB-22,3190
27-FEB-22,5
28-FEB-22,14186
01-MAR-22,14485
02-MAR-22,13117
03-MAR-22,8948
04-MAR-22,10618
05-MAR-22,4
06-MAR-22,27
07-MAR-22,12027
08-MAR-22,12088
09-MAR-22,12608
10-MAR-22,19196
11-MAR-22,10195
12-MAR-22,5839
14-MAR-22,10473
15-MAR-22,14160
16-MAR-22,14478
17-MAR-22,12109
18-MAR-22,10185
19-MAR-22,7286
20-MAR-22,8
21-MAR-22,10784
22-MAR-22,11216
23-MAR-22,10028
24-MAR-22,10231
25-MAR-22,8304
26-MAR-22,7224
27-MAR-22,1
28-MAR-22,9945
29-MAR-22,9933
30-MAR-22,11767
31-MAR-22,12277
01-APR-22,9915
02-APR-22,6222
04-APR-22,10170
05-APR-22,10532
06-APR-22,10533
07-APR-22,9501
08-APR-22,8275
09-APR-22,5002
11-APR-22,7650
12-APR-22,9440
13-APR-22,7561
